X,Y,Z
2232507.4370110384,702981.8242086472,5925868.039611263
2232502.753265263,702984.5465106135,5925869.696250208
2232500.4709693925,702985.840760797,5925870.617576819
2232496.899461967,702987.885404527,5925871.720541728
2232495.676297645,702988.5709418703,5925872.315062928
2232492.540402767,702990.4101225734,5925873.708357229
2232481.043409779,702995.1412350249,5925877.693459152
2232467.2097440213,702998.4940523248,5925881.647166682
2232454.6057246025,703007.9728854652,5925885.055951112
2232448.3411942227,703014.4371630551,5925886.6490969695
2232443.167053172,703015.463085241,5925889.7668371
2232440.4400721835,703016.1032927287,5925890.933247816
2232438.834564601,703016.6255594911,5925891.691160526
2232436.1092249393,703017.9943429921,5925893.415619557
2232433.4625177155,703019.9018120155,5925894.831512235
2232432.0512564452,703021.08482525,5925895.652891478
2232430.9399788473,703022.4479605275,5925896.124855457
2232430.583657116,703023.2351227823,5925896.165705067
2232427.139215381,703027.9749257509,5925896.900997738
2232419.4641399076,703033.0098460494,5925900.055186683
2232418.5369083635,703033.7885224948,5925900.527149742
2232417.794706782,703034.6682953172,5925900.9174138205
2232407.562151008,703041.38172954,5925904.620867236
2232401.1922589345,703048.6691588252,5925906.586023243
2232399.4532223456,703050.6482826751,5925907.221381864
2232398.6041256767,703051.6228615985,5925907.425628015
2232395.4171641953,703054.602104017,5925909.56295999
2232393.583208821,703058.3500642377,5925911.314419935
2232392.7754512466,703061.9929383799,5925911.831621746
2232392.6959849815,703070.0194163145,5925910.479206905
2232393.3811910646,703072.4194035421,5925909.721300649
2232394.675557328,703078.0948091208,5925908.990404131
2232394.5723345466,703083.587027356,5925908.377664444
2232394.750856044,703087.8403374108,5925907.805773702
2232394.792694321,703095.391148602,5925905.173856439
2232394.7686304757,703095.8118447758,5925905.133007047
2232394.756156907,703098.5060504712,5925905.033078079
2232394.164981683,703104.0159241549,5925905.677216287
2232393.983953305,703106.3572541502,5925906.11271845
2232391.5727096754,703109.2381631989,5925907.3243597
2232387.4724480473,703112.272336777,5925908.508991849
2232382.2630418926,703118.6831578547,5925909.28073935
2232381.455772807,703123.6110349764,5925908.355044834
2232381.3911507702,703124.7041992303,5925907.819613762
2232382.506761394,703126.4260636684,5925906.980007503
2232386.849636612,703126.2092992025,5925905.799764558
2232387.5760474,703125.6243670665,5925905.59551743
2232387.5760474,703125.6243670665,5925905.59551743
2232381.2311394475,703130.5211891074,5925907.619756826
